parm_1;parm_2;parm_3;parm_4;parm_5;parm_6
9,08E+19;-3,02E+19;3,66E+19;3,82E+19;-4,55E+19;2,21E+19
1,45E+20;1,64E+19;2,29E+19;1,31E+19;-5,19E+19;2,40E+19
1,27E+20;1,63E+19;1,22E+19;2,77E+19;-6,64E+19;1,24E+19
1,18E+20;-3,64E+18;3,87E+19;4,08E+19;-5,72E+19;1,78E+19
1,54E+20;-2,29E+19;3,15E+19;2,00E+19;-4,12E+19;2,25E+19
1,41E+20;-2,11E+19;1,82E+19;1,46E+19;-4,44E+19;4,72E+18
1,37E+20;1,15E+19;3,87E+19;3,29E+19;-5,86E+19;2,16E+19
1,55E+20;-1,46E+18;4,43E+19;1,01E+19;-4,80E+19;1,29E+19
1,34E+20;-1,59E+18;2,87E+19;1,43E+19;-4,82E+19;3,57E+19
1,01E+20;-8,41E+18;2,58E+19;3,65E+19;-5,06E+19;1,27E+19
1,10E+20;-2,96E+18;2,64E+19;3,10E+19;-5,24E+19;3,10E+19
1,05E+20;1,68E+19;1,86E+19;1,82E+19;-6,15E+19;1,87E+19
1,36E+20;2,65E+19;1,77E+19;2,08E+19;-5,34E+19;2,14E+19
8,27E+19;-1,56E+18;3,23E+19;2,10E+19;-7,83E+19;2,57E+18
5,00E+19;1,85E+19;1,25E+19;1,29E+19;-4,33E+19;2,82E+19
1,26E+20;-2,26E+19;3,74E+19;2,57E+19;-5,09E+19;2,18E+19
7,46E+19;7,03E+17;1,40E+19;1,82E+19;-5,23E+19;2,08E+19
5,20E+19;1,87E+19;3,24E+19;9,61E+18;-5,96E+19;2,35E+19
1,42E+20;8,64E+18;3,78E+19;1,03E+19;-4,62E+19;2,64E+19
9,47E+19;1,24E+19;5,58E+19;1,90E+19;-5,37E+19;1,85E+19
1,42E+20;6,69E+18;1,82E+19;1,76E+19;-6,21E+19;1,01E+19
1,10E+20;-1,78E+19;5,51E+18;4,84E+19;-6,53E+19;2,56E+19
7,78E+19;2,38E+19;2,16E+19;3,45E+19;-5,24E+19;1,92E+19
7,57E+19;3,54E+19;2,14E+19;2,76E+19;-3,62E+19;7,72E+18
1,04E+20;-3,18E+18;2,72E+19;2,10E+19;-5,22E+19;5,92E+18
1,12E+20;5,81E+18;3,50E+19;3,70E+19;-4,00E+19;2,19E+19
8,84E+19;-2,19E+18;3,68E+19;4,32E+19;-5,01E+19;2,35E+19
1,13E+20;-5,36E+18;5,05E+19;3,75E+19;-5,38E+19;2,03E+19
6,75E+19;3,98E+18;2,09E+19;4,09E+19;-4,33E+19;1,98E+19
1,18E+20;-1,08E+19;6,40E+19;3,06E+19;-5,19E+19;2,18E+19
5,80E+19;1,80E+19;5,95E+19;2,51E+19;-5,08E+19;4,95E+18
1,19E+20;4,11E+18;3,32E+19;1,94E+19;-4,53E+19;1,04E+19
1,48E+20;1,73E+19;7,50E+18;1,77E+19;-4,40E+19;1,04E+19
1,65E+20;2,64E+19;3,12E+19;2,94E+19;-6,27E+19;3,04E+18
1,85E+20;-9,88E+18;3,05E+19;3,27E+19;-4,54E+19;3,42E+19
6,69E+19;-7,97E+18;1,96E+18;3,14E+19;-6,57E+19;-3,66E+18
1,51E+20;3,95E+19;2,64E+19;5,59E+19;-5,14E+19;2,43E+19
1,67E+20;2,28E+19;3,07E+19;3,54E+19;-4,30E+19;1,40E+19
1,61E+20;-3,46E+18;2,08E+19;3,88E+19;-4,41E+19;2,17E+19
9,25E+19;-1,61E+19;3,62E+19;3,17E+19;-6,32E+19;1,19E+19
1,45E+20;1,50E+19;4,12E+19;4,01E+19;-5,69E+19;2,08E+19
1,91E+20;8,37E+18;3,03E+19;1,28E+19;-4,12E+19;2,07E+19
